CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share
05001480100,AR,Arkansas,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,661,0,0,0,1435,R,1435.000004,1.000000003,510.0395021,0.355428224,248.0000022,1.000000009,269.9999991,0.999999997,35.67031197,0.053964163,1435.000004,1.000000003,510.0395021,0.355428224,248.0000022,1.000000009,269.9999991,0.999999997,35.67031197,0.053964163,963.1008173,0.671150395,347.6829125,0.242287744,172.5618282,0.695813823,180.8326144,0.669750424,24.25738982,0.036698018,0,0,0,0,0,0,0,0,0,0
05001480200,AR,Arkansas,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,714,0,0,0,1643,R,1643,1,582.8458603,0.354744894,304.0000003,1.000000001,302.9999995,0.999999998,25.46757669,0.035668875,1642.098015,0.999451014,582.5907908,0.354589647,303.8450216,0.999490203,302.9999995,0.999999998,25.46757669,0.035668875,193.7357537,0.117915857,73.4889306,0.044728503,31.26986225,0.102861389,54.12037856,0.178615111,4.166429606,0.005835336,0,0,0,0,0,0,0,0,0,0
05001480300,AR,Arkansas,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1264,0,0,0,3129,C,3045.270582,0.973240838,1395.240681,0.445906258,746.9865211,0.958904392,411.0096825,0.98563473,150.6563618,0.11919016,1341.390355,0.428696182,577.5491132,0.184579455,310.4030883,0.398463528,179.1284563,0.429564644,60.46172488,0.047833643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05001480400,AR,Arkansas,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1045,15,0.0059571,1,2518,C,1080.679815,0.429181817,578.7410583,0.229841564,289.6126102,0.4296923,138.0698517,0.422231962,66.40679512,0.063547172,145.5708097,0.057812077,53.8691533,0.021393627,35.84651386,0.053184739,17.14909622,0.052443719,5.47220489,0.00523656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05001480500,AR,Arkansas,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1746,77,0.0185497,0,4151,C,3592.153046,0.865370524,1326.78743,0.319630795,879.6549878,0.882301894,628.0240126,0.816676219,116.7874092,0.06688855,598.2618814,0.144124761,183.5506203,0.04421841,135.3656488,0.135772968,115.4915321,0.150184047,29.06251558,0.016645198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05001480600,AR,Arkansas,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,715,133,0.0761305,0,1747,R,1285.249422,0.735689423,405.0510734,0.231855222,255.3580692,0.701533157,251.0484607,0.777239816,36.64300983,0.051248965,736.5218238,0.421592343,233.1982525,0.133484976,143.4330745,0.394046908,148.8690525,0.4608949,19.30581086,0.027001134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05001480700,AR,Arkansas,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1235,22,0.0074024,1,2972,C,1555.213781,0.523288621,603.3948566,0.203026533,396.0917486,0.519124179,250.1585906,0.554675367,75.56803331,0.061188691,937.766185,0.31553371,308.7692065,0.103892734,216.3251213,0.283519163,150.5257868,0.333760059,42.56613736,0.034466508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05001480800,AR,Arkansas,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,625,0,0,0,1424,R,1424.000007,1.000000005,469.1039391,0.329426924,296.0000007,1.000000002,255.0000024,1.000000009,9.944055798,0.015910489,1424.000007,1.000000005,469.1039391,0.329426924,296.0000007,1.000000002,255.0000024,1.000000009,9.944055798,0.015910489,1176.294895,0.826049786,405.7758679,0.284954963,236.8610411,0.80020622,226.4531301,0.888051491,9.944055798,0.015910489,0,0,0,0,0,0,0,0,0,0
05003960100,AR,Ashley,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,775,0,0,1,1928,R,1927.999998,0.999999999,986.754667,0.511802213,467.9999993,0.999999999,289.9999999,1,58.3680862,0.07531366,1927.999998,0.999999999,986.754667,0.511802213,467.9999993,0.999999999,289.9999999,1,58.3680862,0.07531366,1468.474635,0.761656969,821.9171629,0.426305582,355.1520458,0.758871893,228.6766052,0.788540018,58.19747142,0.075093512,0,0,0,0,0,0,0,0,0,0
05003960200,AR,Ashley,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1048,0,0,0,2694,R,2694.000017,1.000000006,1451.19906,0.538678196,661.0000032,1.000000005,422.0000012,1.000000003,101.2524263,0.096614911,2694.000017,1.000000006,1451.19906,0.538678196,661.0000032,1.000000005,422.0000012,1.000000003,101.2524263,0.096614911,287.4279278,0.106691881,192.2271402,0.071353801,65.4875395,0.099073433,55.66572776,0.131909307,15.22953865,0.014532003,0,0,0,0,0,0,0,0,0,0
