CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
05001480100,Arkansas,Arkansas,0,1435,661,0,0,0,0,0,0,0,0,0,9.1,63393,0,0,0,0,0,0,0,0,452.092542190888,452.092542190888,0,65.9521970856868,65.9521970856868,0,1432.13792608956,0.99800552340736,411.623404112382,0.286845577778663,247.427586599173,0.172423405295591,269.999999111899,0.188153309485644,1251.13792574239,0.871873118984246,164.000001084501,0.114285715041465,1,6.96864111498e-4,0,0,1.00000002637898,6.96864129881e-4,15.0000000842774,0.010452961731204,8.99999994223981,0.006271776963233,20.2343651564168,0.030611747589133,53.1306359266799,0.080379176893616,1410.4276672676,0.982876423183,401.353983028995,0.279689186779787,240.672728414102,0.167716187048155,268.635968195422,0.187202765292977,1230.06757657901,0.857189948835552,163.908188665611,0.11422173426175,1,6.96864111498e-4,0,0,1.00000002637898,6.96864129881e-4,14.4519028994182,0.010071012473462,8.45190275738059,0.005889827705492,19.8376365908933,0.030011553087584,52.5466851706204,0.079495741559184,452.092542190888,0.315047067728842,65.9521970856868,0.045959719223475,87.759835255775,0.061156679620749,77.9977032604263,0.054353800181482,347.43517491077,0.242115104467436,96.3562700330123,0.067147226503841,0,0,0,0,1.00000002637898,6.96864129881e-4,7.30109857234492,0.005087873569578,2.58885815035319,0.001804082334741,2.31290077770584,0.003499093460977,15.7829888933985,0.023877441593644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,248,270,1254,164,1,0,1,15,9,18,52
05001480200,Arkansas,Arkansas,0,1643,714,0,0,0,0,0,0,0,0,0,12.5,48289,0,0,0,0,0,0,0,0,193.143613164565,193.143613164565,0,66.1591210891365,66.1591210891365,0,1643.00000027806,1.00000000016924,520.374225746978,0.316721987673146,304.000000275006,0.185027389090083,302.999999486671,0.184418745883549,1478.00000375237,0.899573952375155,139.999995696875,0.085209979121653,4.00000017380807,0.002434571012665,1.0000000372529,6.08642749393e-4,2.99999994342215,0.001825928145723,17.0000000368563,0.010346926376662,4.00000003818422,0.002434570930118,30.5949602105716,0.042850084328532,52.5315316653903,0.073573573761051,1641.74799762532,0.99923797786082,520.071184193854,0.316537543635943,303.729310617117,0.184862635798611,302.999999486671,0.184418745883549,1476.80377459254,0.898845876197533,139.944222203972,0.085176032990854,4.00000017380807,0.002434571012665,1.0000000372529,6.08642749393e-4,2.99999994342215,0.001825928145723,17.0000000368563,0.010346926376662,4.00000003818422,0.002434570930118,30.5863389705514,0.042838009762677,52.4886110076074,0.073513460794968,193.143613164565,0.117555455364921,66.1591210891365,0.040267267857052,31.1828634589882,0.018979223042598,53.9216734795703,0.03281903437588,191.090182458302,0.116305649700732,0.020810034126043,1.2665875914e-5,0,0,0,0,0.032620623940602,1.9854305502e-5,1.99999997857958,0.001217285440401,1.99999997857958,0.001217285440401,4.6114524956458,0.00645861694068,6.63347861931192,0.009290586301557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,304,303,1478,140,4,1,3,17,4,28,49
05001480300,Arkansas,Arkansas,1,3129,1264,0,0,0,1,1,1,0,0,1,22.8999999999999,49050,1,1,1,1,1,0,0,0,1714.90591404191,2813.00760192028,1714.90591404191,814.8992111187,1149.56100914697,814.8992111187,2813.00760192028,0.89901169764151,1149.56100914697,0.367389264668257,683.314191173994,0.218381013478426,382.306934647147,0.12218182634936,1686.62722621392,0.539030753024586,984.423700108774,0.314612879548985,28.7411782024428,0.009185419687582,1.00000001152511,3.19590927301e-4,11.0000002868473,0.003515500251469,101.215491169132,0.032347552307169,95.0821284195408,0.030387385241144,81.8461283494599,0.064751683820775,191.893054560733,0.151814125443618,1714.90591404191,0.548068364986231,814.8992111187,0.260434391536817,416.337089974666,0.133057555121338,219.42177240539,0.070125206904887,825.386542956348,0.263786047605097,782.318009152659,0.250021735107913,13.006702712737,0.004156824133185,1.00000001152511,3.19590927301e-4,8.00000016763806,0.002556727442518,85.194651226513,0.027227437272775,71.8040217915549,0.022947913643833,62.0487807535447,0.049089225279703,116.722021881465,0.092343371741666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,779,417,1865,1100,45,1,11,107,96,90,216
05001480400,Arkansas,Arkansas,1,2518,1045,0,15,0.0059571,1,1,1,1,1,1,24.1999999999999,37321,1,1,1,1,1,0,0,1,2518.00002814393,2518.00002814393,2518.00002814393,1514.71134464567,1514.71134464567,1514.71134464567,2518.00002814393,1.00000001117709,1514.71134464567,0.60155335371154794,674.000005887166,0.267672758493712,327.000003685108,0.129864973663665,830.000009033601,0.329626691435108,1609.00002381755,0.638999215177743,3.99999994039535,0.001588562327401,0,0,2.00000000745058,7.94281178495e-4,73.000001389184,0.02899126345877,52.0000009725772,0.02065131095019,154.984026744235,0.148310073439459,307.881724146344,0.294623659470186,2518.00002814393,1.00000001117709,1514.71134464567,0.60155335371154794,674.000005887166,0.267672758493712,327.000003685108,0.129864973663665,830.000009033601,0.329626691435108,1609.00002381755,0.638999215177743,3.99999994039535,0.001588562327401,0,0,2.00000000745058,7.94281178495e-4,73.000001389184,0.02899126345877,52.0000009725772,0.02065131095019,154.984026744235,0.148310073439459,307.881724146344,0.294623659470186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568,674,327,830,1609,4,0,2,73,52,140,274
05001480500,Arkansas,Arkansas,1,4151,1746,0,77,0.0185497,0,0,0,0,1,0,11,51773,1,1,1,1,1,0,0,1,1586.19854827225,3590.63482533651,1586.19854827225,700.161127208033,1474.1180350302,700.161127208033,3590.63482533651,0.865004776038669,1474.1180350302,0.35512359311737,878.744055702409,0.211694544857241,628.024012620095,0.151294630840784,2740.96941698365,0.660315446153616,663.373440705239,0.159810513299263,13.1681495145312,0.003172283670087,0,0,7.02919800532981,0.001693374609812,166.0946224262,0.0400131588596,157.508410983049,0.037944690672862,109.204585586179,0.062545581664479,105.804852363668,0.060598426325125,1586.19854827225,0.382124439477777,700.161127208033,0.168672880560837,395.901137907058,0.095374882656482,240.625210050493,0.057968010130208,1149.78481972217,0.276989838526181,318.420906797051,0.076709445145038,4.02519668638706,9.69693251358e-4,0,0,5,0.00120452902915,108.967623807489,0.026250933222715,91.0426733195781,0.021932708580963,49.2118398670281,0.028185475296122,46.3311178915901,0.026535577257497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,997,769,3131,797,20,0,8,195,187,127,131
05001480600,Arkansas,Arkansas,0,1747,715,0,133,0.0761305,0,0,0,0,0,0,12.5,48261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.2494223476,0.735689423209846,547.230322466499,0.313240024308242,255.358069217103,0.146169472934805,251.048460684894,0.143702610580935,1168.02000513436,0.668586150620699,93.4904707502573,0.053514865913141,2.00000011548399,0.001144819757003,0,0,3.09121934464201,0.001769444387317,18.6477206364525,0.010674138887494,14.3035836245398,0.008187512091895,31.6582790159906,0.044277313309078,55.7942499959019,0.078033916078185,736.521823845299,0.421592343357355,311.86439545619,0.17851425040423,143.433074497306,0.082102504005327,148.869052548895,0.085214111361703,655.598416163082,0.375270988072743,71.5755685158073,0.040970560112082,0,0,0,0,0.768629011232406,4.39970813527e-4,8.57920409285179,0.004910820888868,0.977171326754615,0.00055934248812499995,16.3332286784594,0.02284367647337,28.2831576956662,0.039556863910023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,364,323,1598,101,5,0,5,38,30,42,67
05001480700,Arkansas,Arkansas,1,2972,1235,0,22,0.0074024,1,1,1,0,0,1,26.1,45833,1,1,1,1,1,0,0,0,998.49561109557,2035.26278182096,998.49561109557,415.171093489759,1006.88270029101,415.171093489759,2035.26278182096,0.684812510706918,1006.88270029101,0.338789603058888,524.901615481367,0.176615617591308,308.526332167158,0.103811013515195,1589.83314684631,0.534937128817737,388.272700700263,0.130643573586899,4.01623956003459,0.001351359205934,0,0,2.769266795367,9.31785597364e-4,50.3714298999693,0.016948664165535,73.885994930868,0.024860698159781,82.3561504688727,0.066685142080059,198.181020958223,0.160470462314351,998.49561109557,0.335967567663382,415.171093489759,0.139694176813513,230.668316978737,0.077613834784232,161.661327782268,0.054394794004801,969.804969281351,0.32631391967744,16.9518589184685,0.005703855625326,3.66246511117788,0.001232323388687,0,0,0.066021472215652,2.221449267e-5,8.01029070120421,0.002695252591253,30.0802180684404,0.010121203926124,32.3235526647799,0.026172917137474,96.3457094080422,0.078012720168455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798,763,451,2238,628,11,0,4,91,110,151,288
05001480800,Arkansas,Arkansas,0,1424,625,0,0,0,0,0,0,0,0,0,15.5,54408,1,1,0,0,0,1,0,0,1198.83176840553,1198.83176840553,0,426.645446309828,426.645446309828,0,1424.0000072687,1.00000000510443,483.666467974587,0.33965341852148,296.000000677408,0.207865169015034,255.000002411289,0.179073035401186,1265.00000731032,0.888342701762867,121.999999907358,0.085674157238313,2.00000003754871,0.001404494408391,0,0,1.99999998137354,0.001404494368942,33.0000001310274,0.023174157395384,24.999999989741,0.017556179768077,6.05675007720145,0.009690800123522,85.274542456729307,0.136439267930767,1424.0000072687,1.00000000510443,483.666467974587,0.33965341852148,296.000000677408,0.207865169015034,255.000002411289,0.179073035401186,1265.00000731032,0.888342701762867,121.999999907358,0.085674157238313,2.00000003754871,0.001404494408391,0,0,1.99999998137354,0.001404494368942,33.0000001310274,0.023174157395384,24.999999989741,0.017556179768077,6.05675007720145,0.009690800123522,85.274542456729307,0.136439267930767,1198.83176840553,0.841876241857817,426.645446309828,0.299610566228812,242.870476971981,0.170555110233133,228.690013000964,0.160596919242251,1048.88244846838,0.736574753137911,116.176231737787,0.081584432400131,2.00000003754871,0.001404494408391,0,0,1.99999998137354,0.001404494368942,29.7730890421136,0.020908068147552,23.248590100775,0.016326257093241,4.94290308791031,0.007908644940656,72.3568826838246,0.115771012294119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,296,255,1265,122,2,0,2,33,25,6,82
05003960100,Arkansas,Ashley,0,1928,775,0,0,0,1,1,0,0,0,1,23.1,40833,1,1,0,0,0,1,0,0,1470.44365806791,1470.44365806791,0,838.723574819016,838.723574819016,0,1927.99999814499,0.999999999037859,1000.18249423386,0.518766853855741,467.999999301145,0.242738588849142,289.999999895467,0.150414937705118,1152.99999958333,0.598029045427041,655.000000038016,0.339730290476149,1.00000002945307,5.18672214447e-4,0,0,6.00000002006709,0.003112033205429,112.999998167666,0.058609957555844,102.999998207728,0.053423235584922,45.8359030923716,0.059143100764351,163.435373465313,0.210884352858468,1927.99999814499,0.999999999037859,1000.18249423386,0.518766853855741,467.999999301145,0.242738588849142,289.999999895467,0.150414937705118,1152.99999958333,0.598029045427041,655.000000038016,0.339730290476149,1.00000002945307,5.18672214447e-4,0,0,6.00000002006709,0.003112033205429,112.999998167666,0.058609957555844,102.999998207728,0.053423235584922,45.8359030923716,0.059143100764351,163.435373465313,0.210884352858468,1470.44365806791,0.762678245885849,838.723574819016,0.435022601047208,355.546712404949,0.184412195230783,229.261590363973,0.118911613259322,749.293625594185,0.388637772611092,620.016517701292,0.321585330757932,1.00000002945307,5.18672214447e-4,0,0,1.99999995483085,0.001037344374912,98.133515246867,0.050899126165387,96.1194479259729,0.049854485438783,39.369142097863,0.050798893029501,125.796185055183,0.16231765813572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,468,290,1153,655,1,0,6,113,103,43,155
05003960200,Arkansas,Ashley,0,2694,1048,0,0,0,0,0,0,0,0,0,13.6,47650,0,0,0,0,0,0,0,0,287.427927842248,287.427927842248,0,149.39913070132,149.39913070132,0,2694.00001717627,1.00000000637575,1168.5082152503,0.433744697568786,661.000003189929,0.245360060575326,422.000001153777,0.156644395380021,2356.00001918881,0.874536013061919,206.999998595532,0.076837415959737,0,0,0,0,13.9999998235925,0.00519673341633,116.999999573174,0.04342984393956,125.999998599247,0.04677060081635,57.3256197329802,0.05470001882918,223.32746998528,0.213098730901985,2694.00001717627,1.00000000637575,1168.5082152503,0.433744697568786,661.000003189929,0.245360060575326,422.000001153777,0.156644395380021,2356.00001918881,0.874536013061919,206.999998595532,0.076837415959737,0,0,0,0,13.9999998235925,0.00519673341633,116.999999573174,0.04342984393956,125.999998599247,0.04677060081635,57.3256197329802,0.05470001882918,223.32746998528,0.213098730901985,287.427927842248,0.106691881158964,149.39913070132,0.055456247476363,65.4875394997652,0.02430866351142,55.6657277632355,0.020662853661186,241.538007535272,0.089657760777755,20.9311310576176,0.007769536398522,0,0,0,0,7.78810472681652,0.002890907470979,17.1706848384055,0.006373676628955,13.5912319425551,0.005045000721067,13.0460111239938,0.012448483896941,25.351800825956,0.024190649643088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,661,422,2356,207,0,0,14,117,126,48,218
