CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
05001480100,Arkansas,Arkansas County,0,1435,661,0,0,0,0,0,0,0,0,0,15.482054890921901,67569,0,0,0,0,0,0,0,0,457.070255625613,457.070255625613,NA,181.501566961593,181.501566961593,NA,1432.13792608956,99.800552340736,526.554731814209,36.6937095340912,247.427586599174,17.2423405295591,269.999999111899,18.815330948564398,1251.13792574239,87.1873118984246,164.000001084502,11.428571504146499,1,0.0696864111498258,0,0,1.00000002637898,0.06968641298808251,15.0000000842774,1.04529617312038,8.99999994223981,0.627177696323332,16.9349221058942,2.5620154471852,121.746285790095,18.4185001195302,1410.42766726761,98.2876423183,519.409583378834,36.1957897824972,240.672728414102,16.7716187048155,268.635968195423,18.7202765292977,1230.06757657902,85.7189948835552,163.908188665612,11.422173426175,1,0.0696864111498258,0,0,1.00000002637898,0.06968641298808251,14.4519028994182,1.00710124734622,8.45190275738059,0.58898277054917,16.5295255141823,2.50068464662364,120.408190859086,18.216065182917802,457.070255625613,31.8515857578824,181.501566961593,12.6481928196232,87.8707272973614,6.12339563047814,79.895482234341,5.56762942399589,352.412888345495,24.5583894317418,96.3562700330124,6.71472265038414,0,0,0,0,1.00000002637898,0.06968641298808251,7.30109857234493,0.5087873569578351,2.58885815035319,0.18040823347409,0.37969976383647,0.0574432320478775,36.6843443780192,5.54982517065343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512,248,270,1254,164,1,0,1,15,9,19,121
05001480200,Arkansas,Arkansas County,0,1643,714,0,0,0,0,0,0,0,0,0,9.00277008310249,71389,0,0,0,0,0,0,0,0,194.12269938483,194.12269938483,NA,55.211139803464,55.211139803464,NA,1643.00000027806,100.00000001692399,425.855541945367,25.919387823820202,304.000000275007,18.5027389090083,302.999999486671,18.4418745883549,1478.00000375238,89.9573952375155,139.999995696875,8.52099791216527,4.00000017380808,0.243457101266468,1.0000000372529,0.0608642749393124,2.99999994342215,0.182592814572255,17.0000000368564,1.03469263766624,4.00000003818423,0.243457093011821,62.2535947293069,8.71899085844634,34.989280296368,4.90045942526163,1642.09801520274,99.9451013513535,425.688870787552,25.9092435050245,303.84502163556,18.4933062468387,302.999999486671,18.4418745883549,1477.15379216996,89.9058911850248,139.944222203973,8.51760329908538,4.00000017380808,0.243457101266468,1.0000000372529,0.0608642749393124,2.99999994342215,0.182592814572255,17.0000000368564,1.03469263766624,4.00000003818423,0.243457093011821,62.2374475927933,8.71672935473295,34.9678628793866,4.897459787028939,194.12269938483,11.8151369071716,55.211139803464,3.3603858675267197,31.2724859416457,1.90337711148178,54.4056684329047,3.31136143839956,192.069268678567,11.6901563407527,0.0208100341260433,0.00126658759135991,0,0,0,0,0.0326206239406019,0.0019854305502496603,1.99999997857958,0.12172854404014499,1.99999997857958,0.12172854404014499,9.21720636726093,1.29092526152114,4.44111032085783,0.622004246618743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,304,303,1478,140,4,1,3,17,4,55,32
05001480300,Arkansas,Arkansas County,1,3129,1264,0,0,0,0,0,0,0,0,0,17.1664943123061,56705,1,1,1,1,1,0,0,0,1993.64566068701,3045.27058187477,1993.64566068701,919.335870813835,1186.10336597662,919.335870813835,3045.27058187477,97.32408379273781,1186.10336597662,37.9067870238613,746.986521121347,23.8730112215196,411.009682476406,13.135496403848098,1855.01613683533,59.284632049707,1030.11294378305,32.921474713424494,43.6688179289922,1.3956157855222802,1.00000001152512,0.0319590927301092,11.0000002868474,0.35155002514692696,104.472680847161,3.33885205647685,95.3344085821882,3.04680116913353,83.2768825744525,6.58836096316871,184.488408466075,14.595601935607199,1993.64566068701,63.7151058065519,919.335870813835,29.381140006834,485.440904457355,15.514250701737101,250.526313084994,8.00659357893878,1075.22552190256,34.3632317642236,800.521176471957,25.5839302164256,19.5793548291549,0.625738409368965,1.00000001152512,0.0319590927301092,8.00000016763806,0.255672744251776,89.319597597234,2.85457326932675,74.4468791047111,2.3792546853535,68.3884451051954,5.41047825199331,120.474505651016,9.53121089011206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1352,779,417,1865,1100,45,1,11,107,96,86,176
05001480400,Arkansas,Arkansas County,1,2518,1045,0,15,0.5957108816521048,1,1,1,1,1,1,38.283261802575105,29118,1,1,1,1,1,0,0,1,2518.00002814393,2518.00002814393,2518.00002814393,1623.5489542107,1623.5489542107,1623.5489542107,2518.00002814393,100.00000111770999,1623.5489542107,64.4777185945474,674.000005887166,26.767275849371202,327.000003685109,12.9864973663665,830.000009033602,32.962669143510794,1609.00002381756,63.8999215177743,3.99999994039536,0.158856232740086,0,0,2.00000000745058,0.0794281178495068,73.000001389184,2.89912634587705,52.0000009725773,2.06513109501895,263.143948696327,25.181239109696403,280.072050750241,26.801153181841197,2518.00002814393,100.00000111770999,1623.5489542107,64.4777185945474,674.000005887166,26.767275849371202,327.000003685109,12.9864973663665,830.000009033602,32.962669143510794,1609.00002381756,63.8999215177743,3.99999994039536,0.158856232740086,0,0,2.00000000745058,0.0794281178495068,73.000001389184,2.89912634587705,52.0000009725773,2.06513109501895,263.143948696327,25.181239109696403,280.072050750241,26.801153181841197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1507,674,327,830,1609,4,0,2,73,52,262,279
05001480500,Arkansas,Arkansas County,1,4151,1746,0,77,1.854974704890388,0,0,0,0,1,0,14.989406779661,55694,1,1,1,1,1,0,0,1,1587.08437098563,3592.15304558235,1587.08437098563,651.939319566591,1505.00050794578,651.939319566591,3592.15304558235,86.537052411042,1505.00050794578,36.2563360141117,879.65498782607,21.1913993694548,628.024012620095,15.1294630840784,2742.4876372295,66.0681194225367,663.37344070524,15.981051329926299,13.1681495145313,0.317228367008703,0,0,7.02919800532982,0.169337460981205,166.094622426201,4.00131588596003,157.50841098305,3.7944690672861903,158.219469376916,9.061825279319361,159.363927772902,9.12737272467936,1587.08437098563,38.233783931236495,651.939319566591,15.70559671324,396.432631511241,9.550292255149149,240.625210050493,5.7968010130208,1150.67064243555,27.7203238360769,318.420906797051,7.670944514503771,4.02519668638706,0.0969693251358001,0,0,5,0.12045290291496,108.96762380749,2.6250933222715,91.0426733195782,2.19327085809632,67.7692423406406,3.88139990496224,69.7890199879766,3.99708018258744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1609,997,769,3131,797,20,0,8,195,187,163,180
05001480600,Arkansas,Arkansas County,0,1747,715,0,133,7.613050944476245,0,0,0,0,0,0,10.603174603174601,64097,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1285.2494223476,73.5689423209846,331.30875594117,18.9644393784299,255.358069217104,14.6169472934805,251.048460684894,14.3702610580935,1168.02000513436,66.8586150620699,93.4904707502574,5.3514865913141,2.000000115484,0.114481975700286,0,0,3.09121934464201,0.176944438731655,18.6477206364525,1.06741388874943,14.3035836245399,0.818751209189462,34.253078063626,4.79064028861902,59.628221176271,8.33961135332461,736.5218238453,42.159234335735505,190.347261608059,10.8956646598775,143.433074497307,8.21025040053273,148.869052548896,8.52141113617032,655.598416163082,37.5270988072743,71.5755685158074,4.09705601120821,0,0,0,0,0.768629011232406,0.0439970813527422,8.5792040928518,0.49108208888676597,0.977171326754615,0.0559342488125137,16.9689453466524,2.37327906946188,30.2266698099821,4.22750626713036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414,364,323,1598,101,5,0,5,38,30,44,82
05001480700,Arkansas,Arkansas County,1,2972,1235,0,22,0.7402422611036339,1,1,1,0,0,1,31.3718662952646,38052,1,1,1,1,1,0,0,0,998.49561109557,2035.26278182096,998.49561109557,578.993588437411,1242.07019795113,578.993588437411,2035.26278182096,68.4812510706918,1242.07019795113,41.792402353671996,524.901615481367,17.6615617591308,308.526332167159,10.3811013515195,1589.83314684631,53.4937128817737,388.272700700264,13.064357358689898,4.01623956003459,0.135135920593358,0,0,2.769266795367,0.0931785597364402,50.3714298999694,1.69486641655348,73.885994930868,2.48606981597806,86.5256599243457,7.00612630966362,270.020946308455,21.8640442355024,998.49561109557,33.596756766338196,578.993588437411,19.4816146849734,230.668316978737,7.7613834784232,161.661327782268,5.4394794004800895,969.804969281351,32.631391967744,16.9518589184686,0.57038556253259,3.66246511117788,0.12323233886870401,0,0,0.0660214722156525,0.00222144926701388,8.01029070120421,0.26952525912531,30.0802180684404,1.0121203926123998,48.4924762076716,3.9265162921191497,131.270691351682,10.6292057774641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1776,763,451,2238,628,11,0,4,91,110,151,379
05001480800,Arkansas,Arkansas County,0,1424,625,0,0,0,0,0,0,0,0,0,12.8834355828221,54712,1,1,0,0,0,1,0,0,1198.83176840553,1198.83176840553,NA,489.117212872014,489.117212872014,NA,1424.00000726871,100.000000510443,569.375198881238,39.9842134045813,296.000000677408,20.7865169015034,255.000002411289,17.907303540118598,1265.00000731032,88.8342701762867,121.999999907358,8.56741572383133,2.00000003754872,0.140449440839095,0,0,1.99999998137355,0.14044943689421,33.0000001310274,2.31741573953844,24.9999999897411,1.75561797680766,11.3466339120072,1.8154614259211599,92.9752073539504,14.8760331766321,1424.00000726871,100.000000510443,569.375198881238,39.9842134045813,296.000000677408,20.7865169015034,255.000002411289,17.907303540118598,1265.00000731032,88.8342701762867,121.999999907358,8.56741572383133,2.00000003754872,0.140449440839095,0,0,1.99999998137355,0.14044943689421,33.0000001310274,2.31741573953844,24.9999999897411,1.75561797680766,11.3466339120072,1.8154614259211599,92.9752073539504,14.8760331766321,1198.83176840553,84.1876241857817,489.117212872014,34.3481188814617,242.870476971982,17.0555110233133,228.690013000965,16.0596919242251,1048.88244846838,73.6574753137911,116.176231737787,8.15844324001314,2.00000003754872,0.140449440839095,0,0,1.99999998137355,0.14044943689421,29.7730890421137,2.0908068147551697,23.2485901007751,1.6326257093240901,9.71427194175779,1.55428351068125,78.8910263916474,12.622564222663598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,296,255,1265,122,2,0,2,33,25,11,90
05003960100,Arkansas,Ashley County,0,1928,775,0,0,0,1,1,0,0,0,1,25.521472392638,44286,1,1,0,0,0,1,0,0,1015.3816267168,1015.3816267168,NA,451.48175249368,451.48175249368,NA,1927.99999814499,99.99999990378589,948.352956746806,49.1884313665356,467.999999301145,24.2738588849142,289.999999895467,15.0414937705118,1152.99999958334,59.802904542704105,655.000000038016,33.9730290476149,1.00000002945308,0.051867221444661604,0,0,6.00000002006709,0.311203320542899,112.999998167666,5.86099575558435,102.999998207729,5.34232355849216,49.2265228643605,6.35180940185297,133.280254737975,17.1974522242549,1927.99999814499,99.99999990378589,948.352956746806,49.1884313665356,467.999999301145,24.2738588849142,289.999999895467,15.0414937705118,1152.99999958334,59.802904542704105,655.000000038016,33.9730290476149,1.00000002945308,0.051867221444661604,0,0,6.00000002006709,0.311203320542899,112.999998167666,5.86099575558435,102.999998207729,5.34232355849216,49.2265228643605,6.35180940185297,133.280254737975,17.1974522242549,1015.3816267168,52.665022132614304,451.48175249368,23.4171033451079,258.433939485145,13.4042499732959,153.038170519217,7.937664446017489,569.86273270678,29.5571956798122,376.096003651655,19.5070541313099,1.00000002945308,0.051867221444661604,0,0,0.999999984633178,0.0518672191199781,67.4228924385118,3.49703798954937,60.9937268337017,3.1635750432417895,30.9720656336335,3.99639556563012,69.2731564115307,8.93847179503622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,834,468,290,1153,655,1,0,6,113,103,41,108
05003960200,Arkansas,Ashley County,0,2694,1048,0,0,0,0,0,0,0,0,0,4.55062571103527,64766,0,0,0,0,0,0,0,0,287.427927842249,287.427927842249,NA,102.156830339284,102.156830339284,NA,2694.00001717627,100.000000637575,690.306525803046,25.6238502525258,661.000003189929,24.5360060575326,422.000001153778,15.664439538002101,2356.00001918881,87.4536013061919,206.999998595533,7.683741595973751,0,0,0,0,13.9999998235926,0.519673341632984,116.999999573174,4.34298439395598,125.999998599247,4.67706008163501,38.2162769045826,3.6465913076891803,54.2588691276178,5.17737300836048,2694.00001717627,100.000000637575,690.306525803046,25.6238502525258,661.000003189929,24.5360060575326,422.000001153778,15.664439538002101,2356.00001918881,87.4536013061919,206.999998595533,7.683741595973751,0,0,0,0,13.9999998235926,0.519673341632984,116.999999573174,4.34298439395598,125.999998599247,4.67706008163501,38.2162769045826,3.6465913076891803,54.2588691276178,5.17737300836048,287.427927842249,10.6691881158964,102.156830339284,3.7920130044277705,65.4875394997652,2.43086635114199,55.6657277632355,2.06628536611862,241.538007535273,8.96577607777554,20.9311310576177,0.776953639852178,0,0,0,0,7.78810472681653,0.289090747097867,17.1706848384056,0.63736766289553,13.5912319425552,0.504500072106725,3.90055244146352,0.37219011846025896,6.15938574322626,0.587727647254414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659,661,422,2356,207,0,0,14,117,126,38,54
